Tanggal,Wilayah,Stasiun,Temperatur minimum,Temperatur maksimum,Temperatur rata-rata,Kelembapan rata-rata,Curah hujan, Lamanya penyinaran matahari ,Kecepatan angin maksimum,Arah angin saat kecepatan maksimum ,Kecepatan angin rata-rata,Arah angin terbanyak,
6/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,31.6,27.8,82,0.3,4.4,3,110,0,C ,
7/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.8,29.8,72,1.7,0,5,310,1,C ,
8/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.6,29.9,75,0,4,5,315,1,C ,
9/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,34,29.2,73,0,3.5,3,310,1,C ,
10/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,32.4,29.5,75,0,5.2,3,10,1,C ,
11/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.4,29.1,73,0,4,5,310,1,C ,
12/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,33.8,30.1,72,0,5.6,4,100,1,C ,
13-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,34.4,30.1,74,0,3.4,2,100,1,C ,
14-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.2,29.7,75,0,2.5,3,60,0,C ,
15-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.4,29.5,74,0,2.4,4,320,1,C ,
16-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.4,32.2,26.2,94,0,2,2,140,0,C ,
17-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.6,32,27.9,81,29.3,0,4,310,1,C ,
18-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.4,32,28.7,80,0,1.5,4,320,1,C ,
19-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,31.2,27.4,88,0,2.3,3,20,1,C ,
20-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.2,33.2,28.6,78,26.9,0.2,3,90,1,C ,
21-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,33,29.5,77,0,3.3,5,320,1,C ,
22-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,33.6,29.2,78,2.5,3.9,3,315,1,C ,
23-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,33.2,29.4,77,1,3.7,4,140,2,C ,
24-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,32,28.6,79,0,3.6,3,320,1,C ,
25-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,32,28.7,81,31.4,4.2,4,320,1,C ,
26-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.2,31.8,28.5,75,3.5,2.6,5,340,1,C ,
27-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,32.2,28.8,76,0,3.7,5,320,1,C ,
28-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.6,29.1,68,0,4,5,317,1,C ,
29-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.2,33,28.7,77,30.6,4.2,5,317,1,C ,
30-06-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,33.2,29.1,76,0,3.5,7,70,2,C ,
